Name,Category,Brand,Selling Price,MRP,Discount,Discount.1,Ratings,Details,No_of_ratings,No_of_reviews
ASUS Vivobook 14 (2022) Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-EK522WS Thin and ...,Laptops,Asus,56990,70990,0.19,0.197210875,4,['Intel Core i5 Processor (12th Gen)' '8 GB DDR4 RAM' 'Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' 'Microsoft Office Home & Student 2021' '1 Year Onsite Warranty'],6,0
MSI Prestige 14 Evo Intel EVO Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) Prestige 14Evo A11...,Laptops,Msi,84990,106990,0.2,0.205626694,4.8,['Intel Core i7 Processor (11th Gen)' '16 GB LPDDR4X RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' 'PCI-e Gen4 SSD?SHIFT?Matrix Display (Extend)?Cooler Boost 3?Thunderbolt 4?Finger Print Security?True Color 2.0?Hi-Res Audio?Nahimic 3? 4-Sided Thin bezel MSI Cente Silky Smooth Touchpad Military-Grade Durability' '1 Year On-Site Warranty'],8,0
DELL Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3515 Thin and Light Laptop,Laptops,Dell,29990,44630,0.32,0.328030473,3.6,"['Processor: AMD Athlon Silver 3050U (Base- 2.30 GHz & Turbo up to 3.20 GHz) 2 Cores' 'RAM & Storage: 8GB DDR4 & 256GB SSD' 'Graphics & Keyboard: Radeon Graphics & Standard Keyboard' 'Display: 15.6"" HD WVA AG Narrow Border' 'Ports: 2x USB 3.2 Gen1 1x USB 2.0 HDMI 1.4b SD Card reader Audio jack' 'AMD Athlon Dual Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Hardware Service']",5,0
acer Aspire 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A315-58 Notebook,Laptops,Acer,35990,49999,0.28,0.280185604,4.3,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year International Travelers Warranty (ITW)'],31,0
HP OMEN Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,Laptops,Hp,99990,117664,0.15,0.15020737,4.9,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '40.89 cm (16.1 Inch) Display' '1 Year Onsite Warranty'],11,0
ASUS ROG Strix G15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/8 GB G...,Laptops,Asus,146990,176990,0.16,0.169501102,5,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB SSD' '39.62 cm (15.6 inch) Display' '1 Year Onsite Warranty'],4,0
ASUS Zenbook 13 Intel EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX325EA-KG512WS Thin a...,Laptops,Asus,71990,98990,0.27,0.272754824,4.7,['Intel Core i5 Processor (11th Gen)' '16 GB LPDDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '33.78 cm (13.3 Inch) Display' '1 Year Onsite Warranty'],12,0
ASUS Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X415JA-EK324WS Notebook,Laptops,Asus,33990,45499,0.25,0.252950614,4.8,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' 'Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' '1 Year Manufacturer'],4,0
ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UP5...,Laptops,Asus,108990,122990,0.11,0.113830393,4.7,['Intel Core i5 Processor (12th Gen)' '16 GB LPDDR5 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Touchscreen Display' '1 Year Onsite Warranty'],3,0
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY43HN/A,Laptops,Apple,139990,149900,0.06,0.06611074,4.6,['Apple M2 Processor' '8 GB Unified Memory RAM' 'Mac OS Operating System' '512 GB SSD' '34.54 cm (13.6 Inch) Display' 'Built-in Apps: iMovie Siri GarageBand Pages Numbers Photos Keynote Safari Mail FaceTime Messages Maps Stocks Home Voice Memos Notes Calendar Contacts Reminders Photo Booth Preview Books App Store Time Machine TV Music Podcasts Find My QuickTime Player' '1 Year Limited Warranty'],23,0
DELL Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,Laptops,Dell,89081,121935,0.26,0.269438635,5,['NVIDIA RTX 3050 Graphics upto 90W TGP' '15.6 inch Full HD AG Display (250 nits Brightness 120Hz Narrow Border)' 'Alienware Command Center' 'AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '1 Year Premium Support'],6,0
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows ...,Laptops,Asus,140990,182990,0.22,0.229520739,5,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR5 RAM' 'Windows 11 Operating System' '1 TB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home & Student' '1 Year Onsite Warranty'],5,0
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY03HN/A,Laptops,Apple,139990,149900,0.06,0.06611074,4.3,['Apple M2 Processor' '8 GB Unified Memory RAM' 'Mac OS Operating System' '512 GB SSD' '34.54 cm (13.6 Inch) Display' 'Built-in Apps: iMovie Siri GarageBand Pages Numbers Photos Keynote Safari Mail FaceTime Messages Maps Stocks Home Voice Memos Notes Calendar Contacts Reminders Photo Booth Preview Books App Store Time Machine TV Music Podcasts Find My QuickTime Player' '1 Year Limited Warra\xadnty'],6,0
ASUS Core i5 11th Gen - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050) FX50...,Laptops,Asus,70990,97990,0.27,0.27553832,4.8,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' 'Windows 11 Operating System' '1 TB SSD' '39.62 cm (15.6 inch) Display' '1 YEAR'],6,0
acer aspire 5 gaming Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,Laptops,Acer,61999,79990,0.22,0.224915614,3.7,['Intel Core i5 Processor (12th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' '1 Year International Travelers Warranty (ITW)'],3,0
ASUS Touchscreen Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EZ311WS Laptop,Laptops,Asus,47990,62990,0.23,0.238133037,5,['Intel Core i3 Processor (12th Gen)' '8 GB DDR4 RAM' 'Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Touchscreen Display' '1 YEAR'],3,0
HP OMEN Ryzen 7 Octa Core AMD R7-5800H - (16 GB/1 TB SSD/Windows 11 Home/AMD Radeon RX 6600M) 16-C0140...,Laptops,Hp,118990,140347,0.15,0.152172829,3.5,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB SSD' '40.89 cm (16.1 inch) Display' 'Microsoft Office Home & Student 2019 HP Documentation HP e-service HP BIOS recovery HP SSRM HP Smart HP Jumpstarts' '1 Year Onsite Warranty'],4,0
acer Predator Helios 300 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,Laptops,Acer,155490,179999,0.13,0.136161868,5,['Intel Core i7 Processor (12th Gen)' '16 GB DDR5 RAM' '64 bit Windows 11 Operating System' '1 TB SSD' '39.62 cm (15.6 Inch) Display' 'Acer Care Center Acer Product Registration Planet9 PredatorSense' '1 Year International Travelers Warranty (ITW)'],4,0
MICROSOFT Surface Laptop 3 Ryzen 5 Quad Core 3580U - (8 GB/128 GB SSD/Windows 10 Home) 1873 Laptop,Laptops,Microsoft,99990,124999,0.2,0.200073601,3.8,['AMD Ryzen 5 Quad Core Processor' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '128 GB SSD' '38.1 cm (15 inch) Touchscreen Display' '1 Year Limited Hardware Warranty'],9,0
